OCCUPANCY,WINDOW,CO2,RH,Tin,MONTH_NUM,CO2_x_OCCUPANCY,CO2_x_WINDOW,WINDOW_x_OCCUPANCY,Temp_x_RH
0,0,397.62,31.58,25.08,1,0.0,0.0,0,792.0263999999999
1,0,1035.68,38.63,24.12,12,1035.68,0.0,0,931.7556
0,0,365.8,29.6,26.32,2,0.0,0.0,0,779.072
1,0,1037.03,38.08,26.15,5,1037.03,0.0,0,995.792
1,0,1139.97,47.42,22.42,11,1139.97,0.0,0,1063.1564
1,0,939.55,39.88,24.55,11,939.55,0.0,0,979.054
0,0,884.27,40.25,25.66,5,0.0,0.0,0,1032.815
0,0,967.62,43.28,25.61,10,0.0,0.0,0,1108.4008
0,0,1022.37,28.45,26.41,3,0.0,0.0,0,751.3645
1,0,864.28,54.28,27.13,9,864.28,0.0,0,1472.6164
1,0,738.73,21.77,27.93,3,738.73,0.0,0,608.0361
0,0,373.45,34.7,23.28,11,0.0,0.0,0,807.8160000000001
1,0,563.63,34.74,25.62,4,563.63,0.0,0,890.0388
0,0,531.95,44.97,23.16,1,0.0,0.0,0,1041.5052
0,0,436.03,32.4,25.07,1,0.0,0.0,0,812.268
1,0,439.98,36.24,23.68,11,439.98,0.0,0,858.1632000000001
1,0,513.17,31.62,26.77,4,513.17,0.0,0,846.4674
1,0,1492.73,50.78,28.3,9,1492.73,0.0,0,1437.074
0,0,964.27,35.6,26.26,4,0.0,0.0,0,934.856
1,0,1048.23,44.49,24.07,12,1048.23,0.0,0,1070.8743
1,0,1179.9,39.06,26.45,11,1179.9,0.0,0,1033.137
0,0,736.05,33.04,21.27,4,0.0,0.0,0,702.7608
0,0,445.52,32.75,24.29,1,0.0,0.0,0,795.4975
0,0,965.77,32.68,26.92,1,0.0,0.0,0,879.7456000000001
0,0,749.38,38.65,26.84,11,0.0,0.0,0,1037.366
0,0,879.52,38.87,25.03,11,0.0,0.0,0,972.9161
1,0,676.05,35.07,25.39,11,676.05,0.0,0,890.4273000000001
0,0,943.92,27.34,26.5,3,0.0,0.0,0,724.51
1,0,1034.58,52.15,26.06,9,1034.58,0.0,0,1359.029
0,0,627.65,39.62,25.61,10,0.0,0.0,0,1014.6682
0,0,1043.48,42.49,25.86,10,0.0,0.0,0,1098.7914
0,0,962.95,32.31,26.45,1,0.0,0.0,0,854.5995
1,0,1429.43,42.45,26.91,11,1429.43,0.0,0,1142.3295
0,0,918.77,47.51,28.22,5,0.0,0.0,0,1340.7322
0,0,595.87,42.39,23.07,12,0.0,0.0,0,977.9373
1,0,628.97,36.27,25.74,11,628.97,0.0,0,933.5898
0,0,554.7,44.39,21.94,11,0.0,0.0,0,973.9166
0,0,561.38,36.69,19.44,3,0.0,0.0,0,713.2536
0,0,585.67,31.07,27.26,4,0.0,0.0,0,846.9682
0,0,1005.32,42.07,26.03,10,0.0,0.0,0,1095.0821
1,0,1495.7,41.72,27.11,5,1495.7,0.0,0,1131.0292
1,0,1107.87,38.97,26.32,11,1107.87,0.0,0,1025.6904
0,1,532.2,54.06,27.66,8,0.0,532.2,0,1495.2996
0,0,375.97,34.71,23.29,11,0.0,0.0,0,808.3959
0,0,389.15,36.41,24.51,5,0.0,0.0,0,892.4091
1,0,1369.02,40.15,27.13,11,1369.02,0.0,0,1089.2695
1,0,1135.83,39.61,25.91,11,1135.83,0.0,0,1026.2951
1,0,1677.2,52.72,25.04,10,1677.2,0.0,0,1320.1088
0,0,394.8,39.78,24.94,11,0.0,0.0,0,992.1132
0,0,853.07,38.9,24.55,11,0.0,0.0,0,954.995
1,0,620.02,34.96,24.21,11,620.02,0.0,0,846.3816
1,0,614.15,27.31,27.34,3,614.15,0.0,0,746.6554
0,0,1786.8,42.16,27.28,11,0.0,0.0,0,1150.1248
0,0,589.88,39.77,22.74,1,0.0,0.0,0,904.3698
1,0,446.78,51.27,27.11,5,446.78,0.0,0,1389.9297
1,0,1048.67,35.17,27.4,2,1048.67,0.0,0,963.658
0,0,523.22,35.3,24.71,11,0.0,0.0,0,872.2629999999999
0,0,462.43,43.93,25.06,5,0.0,0.0,0,1100.8858
1,0,683.98,28.49,26.91,2,683.98,0.0,0,766.6659
0,0,342.5,30.04,26.3,2,0.0,0.0,0,790.052
0,0,1305.23,28.7,27.13,3,0.0,0.0,0,778.631
0,0,622.02,35.75,25.51,4,0.0,0.0,0,911.9825
0,0,843.85,38.73,24.95,11,0.0,0.0,0,966.3135
0,0,1100.05,43.51,26.55,10,0.0,0.0,0,1155.1905
0,0,1145.6,39.33,25.33,11,0.0,0.0,0,996.2288999999998
1,0,984.35,38.05,26.49,11,984.35,0.0,0,1007.9444999999998
0,0,992.47,27.56,26.32,3,0.0,0.0,0,725.3792
0,0,367.0,30.7,24.32,1,0.0,0.0,0,746.624
0,0,387.68,40.24,24.1,11,0.0,0.0,0,969.784
0,0,348.35,44.94,25.43,10,0.0,0.0,0,1142.8242
0,0,352.78,42.18,24.65,10,0.0,0.0,0,1039.737
0,0,729.28,40.3,24.61,11,0.0,0.0,0,991.783
1,0,975.67,52.09,23.33,10,975.67,0.0,0,1215.2597
0,0,587.92,36.28,25.17,11,0.0,0.0,0,913.1676
0,0,571.98,31.9,23.09,4,0.0,0.0,0,736.5709999999999
0,0,466.0,41.37,24.72,11,0.0,0.0,0,1022.6663999999998
0,0,736.6,32.97,21.27,4,0.0,0.0,0,701.2719
1,0,1012.05,35.02,27.4,2,1012.05,0.0,0,959.548
