CO,MQ135,Temperature,Humidity,CO2,TVOC,DustDensity
163,42.0,33.8,49.0,520.0,18.0,21.0
162,37.0,33.8,49.0,637.0,36.0,9.0
173,47.0,33.7,50.0,679.0,42.0,3.0
168,37.0,33.3,51.0,539.0,21.0,0.0
168,37.0,33.3,52.0,697.0,45.0,0.0
170,40.0,33.3,52.0,717.0,48.0,20.0
171,40.0,33.3,53.0,730.0,50.0,4.0
171,42.0,33.3,53.0,570.0,25.0,6.0
167,38.0,33.3,53.0,692.0,44.0,3.0
172,40.0,33.3,53.0,699.0,45.0,0.0
172,40.0,33.3,53.0,714.0,47.0,4.0
168,39.0,33.3,52.0,615.0,32.0,0.0
168,39.0,33.3,52.0,702.0,46.0,0.0
166,42.0,33.3,52.0,668.0,40.0,4.0
167,39.0,33.3,51.0,612.0,32.0,0.0
167,42.0,33.3,50.0,600.0,30.0,3.0
170,43.0,33.3,50.0,581.0,27.0,5.0
178,44.0,33.3,50.0,546.0,22.0,14.0
163,42.0,33.3,49.0,520.0,18.0,19.0
161,37.0,33.8,45.0,502.0,15.0,0.0
163,44.0,33.8,44.0,501.0,15.0,4.0
156,35.0,33.8,43.0,519.0,18.0,0.0
156,35.0,33.8,42.0,534.0,20.0,0.0
154,38.0,33.8,41.0,501.0,15.0,0.0
150,38.0,34.2,40.0,534.0,20.0,1.0
154,40.0,34.2,39.0,542.0,21.0,0.0
153,42.0,34.2,39.0,551.0,23.0,6.0
151,38.0,34.2,39.0,526.0,19.0,0.0
151,38.0,33.8,40.0,650.0,38.0,0.0
156,40.0,33.8,41.0,679.0,42.0,0.0
149,37.0,33.8,41.0,710.0,47.0,1.0
156,36.0,33.8,42.0,656.0,39.0,0.0
157,43.0,33.8,41.0,704.0,46.0,0.0
154,35.0,33.8,42.0,726.0,49.0,0.0
159,45.0,33.8,43.0,752.0,53.0,7.0
157,38.0,33.4,44.0,591.0,29.0,134.0
158,38.0,33.3,45.0,810.0,62.0,0.0
159,39.0,33.3,45.0,830.0,65.0,0.0
164,40.0,33.3,45.0,817.0,63.0,136.0
163,43.0,33.3,46.0,851.0,68.0,0.0
161,38.0,33.3,46.0,868.0,71.0,0.0
159,38.0,33.3,46.0,857.0,69.0,0.0
162,38.0,33.3,46.0,874.0,72.0,0.0
162,38.0,33.3,47.0,877.0,72.0,0.0
165,42.0,33.3,47.0,882.0,73.0,0.0
168,40.0,33.3,47.0,897.0,75.0,120.0
163,38.0,33.3,48.0,895.0,75.0,0.0
167,43.0,33.3,48.0,900.0,76.0,0.0
163,35.0,33.3,48.0,885.0,73.0,0.0
167,43.0,33.3,48.0,885.0,73.0,1.0
163,38.0,33.3,48.0,857.0,69.0,5.0
